ID,NOMBRE,CATEGORIA,PRECIO_COMPRA,PRECIO_VENTA,STOCK,DESCRIPCION,URL_IMAGEN
1,Palta Hass Nacional,Feria,2500,4990,50,"Palta gran calibre",https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=400&q=80
2,Tomate Larga Vida,Feria,800,1500,80,"Tomate rojo",https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?auto=format&fit=crop&w=400&q=80
3,Limón de Pica,Feria,1500,2200,30,"Especial para tragos",https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=400&q=80
4,Cebolla Guarda,Feria,700,1100,100,"Cebolla firme",https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?auto=format&fit=crop&w=400&q=80
5,Papa Leona Blanca,Feria,500,800,150,"Cosecha nacional",https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?auto=format&fit=crop&w=400&q=80
6,Choclo Húngaro,Feria,400,700,40,"Choclo fresco",https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?auto=format&fit=crop&w=400&q=80
7,Manzana Fuji Crocante,Feria,900,1400,60,"Sabor dulce",https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=400&q=80
8,Plátano Ecuador,Feria,1000,1490,90,"Importación premium",https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=400&q=80
9,Lechuga Escarola Fresca,Feria,600,990,20,"Del día",https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?auto=format&fit=crop&w=400&q=80
10,Zanahoria a Granel,Feria,600,900,45,"Limpia",https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?auto=format&fit=crop&w=400&q=80
11,Pan Marraqueta Blanca,Panadería,1300,1990,30,"Recién horneado",https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=400&q=80
12,Pan Hallulla Tradicional,Panadería,1300,1990,35,"Receta clásica",https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=400&q=80
13,Pan Coliza Campo,Panadería,1400,2100,10,"Coliza artesanal",https://images.unsplash.com/photo-1509440159596-0249088772ff?auto=format&fit=crop&w=400&q=80
