ID,NOMBRE,CATEGORIA,PRECIO_COMPRA,PRECIO_VENTA,STOCK,DESCRIPCION,URL_IMAGEN
1,Palta Hass,Feria,3500,4990,50,"Palta gran calibre origen peruano",https://loremflickr.com/320/240/avocado?random=1
2,Tomate Larga Vida,Feria,800,1200,80,"Tomate rojo primera selección",https://loremflickr.com/320/240/tomato?random=2
3,Limón de Pica,Feria,1500,2200,30,"Limón de pica ideal para tragos",https://loremflickr.com/320/240/lamon?random=3
4,Cebolla Guarda,Feria,700,1100,100,"Cebolla de campo firme",https://loremflickr.com/320/240/onion?random=4
5,Papa Leona,Feria,500,800,150,"Papa seleccionada chilena fresca",https://loremflickr.com/320/240/potato?random=5
6,Choclo Húngaro,Feria,400,700,40,"Choclo grande tierno",https://loremflickr.com/320/240/corn?random=6
7,Manzana Fuji,Feria,900,1400,60,"Manzana dulce crocante",https://loremflickr.com/320/240/apple?random=7
8,Plátano Ecuador,Feria,1000,1490,90,"Plátano amarillo importado",https://loremflickr.com/320/240/banana?random=8
9,Lechuga Escarola,Feria,600,990,20,"Lechuga fresca del día",https://loremflickr.com/320/240/lettuce?random=9
10,Zanahoria a Granel,Feria,600,900,45,"Zanahoria limpia sin hojas",https://loremflickr.com/320/240/carrot?random=10
11,Uva Red Globe,Feria,1800,2690,25,"Uva extra dulce",https://loremflickr.com/320/240/grapes?random=11
12,Naranja Nacional,Feria,850,1200,70,"Para jugo fresco",https://loremflickr.com/320/240/orange?random=12
13,Pimentón Rojo,Feria,600,900,30,"Pimentón primera unidad",https://loremflickr.com/320/240/pepper?random=13
14,Ajo Chilote,Feria,200,450,100,"Cabeza de ajo grande",https://loremflickr.com/320/240/garlic?random=14
15,Frutilla Cesta,Feria,1800,2990,20,"Cesta 500g frutilla de la zona",https://loremflickr.com/320/240/strawberry?random=15
16,Aceite Maravilla Natura 1L,Abarrotes,1700,2390,120,"Aceite 100% Maravilla",https://loremflickr.com/320/240/cooking,oil?random=16
17,Aceite Belmont Vegetal 1L,Abarrotes,1600,2190,100,"Aceite blend vegetal",https://loremflickr.com/320/240/oil,bottle?random=17
18,Arroz Tucapel Grano Largo 1Kg,Abarrotes,1200,1690,200,"El original",https://loremflickr.com/320/240/rice?random=18
19,Arroz Miraflores G. Corto 1Kg,Abarrotes,1100,1550,150,"Grado 2 tradicional",https://loremflickr.com/320/240/rice,bowl?random=19
20,Fideos Carozzi Espagueti 400g,Abarrotes,600,890,300,"Pasta clásica n5",https://loremflickr.com/320/240/spaghetti?random=20
21,Fideos Lucchetti Tallarín 400g,Abarrotes,650,920,250,"Fideos chilenos",https://loremflickr.com/320/240/pasta?random=21
22,Salsa de Tomate Pomarola 250g,Abarrotes,350,500,200,"Salsa de tomate italiana",https://loremflickr.com/320/240/tomato,sauce?random=22
23,Atún Van Camp's Lomitos 160g,Abarrotes,1200,1690,120,"Lomitos en agua",https://loremflickr.com/320/240/canned,tuna?random=23
24,Atún Robinson Crusoe Aceite 160g,Abarrotes,1400,1990,90,"En aceite vegetal",https://loremflickr.com/320/240/canned,food?random=24
25,Jurel San José Tarro 425g,Abarrotes,1100,1590,110,"Tipo exportación",https://loremflickr.com/320/240/fish,can?random=25
26,Azúcar Iansa Blanca 1Kg,Abarrotes,1000,1350,300,"Azúcar blanca granulada",https://loremflickr.com/320/240/sugar?random=26
27,Azúcar Iansa Rubia 500g,Abarrotes,800,1100,80,"Azúcar rubia sin refinar",https://loremflickr.com/320/240/brown,sugar?random=27
28,Sal de Mar Lobos 1Kg,Abarrotes,450,650,150,"Sal tradicional",https://loremflickr.com/320/240/salt?random=28
29,Salero Biosal 250g,Abarrotes,900,1300,40,"Menos sodio",https://loremflickr.com/320/240/salt,shaker?random=29
30,Harina Mont Blanc Sin Polvos 1Kg,Abarrotes,800,1100,140,"Harina de trigo tradicional",https://loremflickr.com/320/240/flour?random=30
31,Harina Selecta Con Polvos 1Kg,Abarrotes,950,1350,120,"Harina lista para repostería",https://loremflickr.com/320/240/baking,flour?random=31
32,Leche Condensada Nestlé Tarro,Abarrotes,1300,1850,90,"Original azucarada",https://loremflickr.com/320/240/condensed,milk?random=32
33,Manjar Colun Bolsa 400g,Abarrotes,1200,1750,60,"Manjar receta campo",https://loremflickr.com/320/240/dulce,leche?random=33
34,Legumbres Lentejas 400g,Abarrotes,1100,1600,50,"Lentejas seleccionadas",https://loremflickr.com/320/240/lentils?random=34
35,Garbanzos Wasil Caja 380g,Abarrotes,1000,1450,45,"Listos para servir",https://loremflickr.com/320/240/chickpeas?random=35
36,Café Nescafé Tradición 100g,Desayuno,2500,3490,80,"Café instantáneo clásico",https://loremflickr.com/320/240/instant,coffee?random=36
37,Café Fina Selección 170g,Desayuno,3800,5290,40,"Café tostado granulado",https://loremflickr.com/320/240/coffee,jar?random=37
38,Té Supremo Ceylan 100 bolsitas,Desayuno,1900,2690,120,"Té negro tradicional chileno",https://loremflickr.com/320/240/tea,bags?random=38
